lat,bnds,lon,member_id,time,lat_bnds,lon_bnds,pr,time_bnds
-89.375,0,141.5625,r1i1p1f2,1850-01-16 00:00:00,-90.0,140.625,2.2877223e-06,1850-01-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-02-16 00:00:00,-90.0,140.625,1.3632939e-06,1850-02-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-03-16 00:00:00,-90.0,140.625,8.3850074e-07,1850-03-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-04-16 00:00:00,-90.0,140.625,1.109319e-06,1850-04-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-05-16 00:00:00,-90.0,140.625,1.6503403e-06,1850-05-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-06-16 00:00:00,-90.0,140.625,2.6659968e-06,1850-06-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-07-16 00:00:00,-90.0,140.625,2.7753151e-06,1850-07-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-08-16 00:00:00,-90.0,140.625,2.244397e-06,1850-08-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-09-16 00:00:00,-90.0,140.625,1.333478e-06,1850-09-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-10-16 00:00:00,-90.0,140.625,8.435467e-07,1850-10-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-11-16 00:00:00,-90.0,140.625,2.3840012e-06,1850-11-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1850-12-16 00:00:00,-90.0,140.625,1.804278e-06,1850-12-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-01-16 00:00:00,-90.0,140.625,1.2374903e-06,1851-01-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-02-16 00:00:00,-90.0,140.625,9.36782e-07,1851-02-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-03-16 00:00:00,-90.0,140.625,1.9705105e-06,1851-03-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-04-16 00:00:00,-90.0,140.625,1.6457684e-06,1851-04-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-05-16 00:00:00,-90.0,140.625,3.0402744e-06,1851-05-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-06-16 00:00:00,-90.0,140.625,2.1603043e-06,1851-06-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-07-16 00:00:00,-90.0,140.625,1.7641239e-06,1851-07-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-08-16 00:00:00,-90.0,140.625,2.4615417e-06,1851-08-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-09-16 00:00:00,-90.0,140.625,1.2129191e-06,1851-09-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-10-16 00:00:00,-90.0,140.625,1.4161614e-06,1851-10-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-11-16 00:00:00,-90.0,140.625,3.3063163e-06,1851-11-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1851-12-16 00:00:00,-90.0,140.625,1.1163498e-06,1851-12-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-01-16 00:00:00,-90.0,140.625,2.0226644e-06,1852-01-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-02-16 00:00:00,-90.0,140.625,1.5511511e-06,1852-02-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-03-16 00:00:00,-90.0,140.625,1.2960395e-06,1852-03-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-04-16 00:00:00,-90.0,140.625,2.879233e-06,1852-04-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-05-16 00:00:00,-90.0,140.625,2.269032e-06,1852-05-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-06-16 00:00:00,-90.0,140.625,8.373602e-07,1852-06-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-07-16 00:00:00,-90.0,140.625,1.3587693e-06,1852-07-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-08-16 00:00:00,-90.0,140.625,1.1118675e-06,1852-08-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-09-16 00:00:00,-90.0,140.625,1.9353129e-06,1852-09-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-10-16 00:00:00,-90.0,140.625,1.2672681e-06,1852-10-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-11-16 00:00:00,-90.0,140.625,2.1054684e-06,1852-11-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1852-12-16 00:00:00,-90.0,140.625,6.932639e-07,1852-12-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1853-01-16 00:00:00,-90.0,140.625,1.2452307e-07,1853-01-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1853-02-16 00:00:00,-90.0,140.625,1.40441e-06,1853-02-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1853-03-16 00:00:00,-90.0,140.625,1.8700171e-06,1853-03-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1853-04-16 00:00:00,-90.0,140.625,3.2391524e-06,1853-04-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1853-05-16 00:00:00,-90.0,140.625,1.7142759e-06,1853-05-01 00:00:00
-89.375,0,141.5625,r1i1p1f2,1853-06-16 00:00:00,-90.0,140.625,9.246975e-07,1853-06-01 00:00:00
