lat,bnds,lon,member_id,time,lat_bnds,lon_bnds,pr,time_bnds
-89.375,0,2.8125,r1i1p1f2,1850-01-16 00:00:00,-90.0,1.875,2.6270452e-06,1850-01-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-02-16 00:00:00,-90.0,1.875,1.1896217e-06,1850-02-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-03-16 00:00:00,-90.0,1.875,3.1357442e-07,1850-03-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-04-16 00:00:00,-90.0,1.875,1.1461616e-06,1850-04-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-05-16 00:00:00,-90.0,1.875,1.51809e-06,1850-05-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-06-16 00:00:00,-90.0,1.875,2.6971773e-06,1850-06-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-07-16 00:00:00,-90.0,1.875,3.4572415e-06,1850-07-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-08-16 00:00:00,-90.0,1.875,2.7093088e-06,1850-08-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-09-16 00:00:00,-90.0,1.875,1.6797513e-06,1850-09-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-10-16 00:00:00,-90.0,1.875,7.9296603e-07,1850-10-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-11-16 00:00:00,-90.0,1.875,1.9023562e-06,1850-11-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1850-12-16 00:00:00,-90.0,1.875,2.4591648e-06,1850-12-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-01-16 00:00:00,-90.0,1.875,1.9430645e-06,1851-01-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-02-16 00:00:00,-90.0,1.875,7.8543536e-07,1851-02-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-03-16 00:00:00,-90.0,1.875,1.7862812e-06,1851-03-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-04-16 00:00:00,-90.0,1.875,1.5650725e-06,1851-04-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-05-16 00:00:00,-90.0,1.875,3.5417816e-06,1851-05-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-06-16 00:00:00,-90.0,1.875,1.911823e-06,1851-06-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-07-16 00:00:00,-90.0,1.875,1.4009742e-06,1851-07-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-08-16 00:00:00,-90.0,1.875,2.3983582e-06,1851-08-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-09-16 00:00:00,-90.0,1.875,1.0694789e-06,1851-09-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-10-16 00:00:00,-90.0,1.875,1.7176645e-06,1851-10-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-11-16 00:00:00,-90.0,1.875,2.9857742e-06,1851-11-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1851-12-16 00:00:00,-90.0,1.875,6.8418444e-07,1851-12-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-01-16 00:00:00,-90.0,1.875,1.7389367e-06,1852-01-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-02-16 00:00:00,-90.0,1.875,1.151179e-06,1852-02-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-03-16 00:00:00,-90.0,1.875,1.1660723e-06,1852-03-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-04-16 00:00:00,-90.0,1.875,2.9536159e-06,1852-04-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-05-16 00:00:00,-90.0,1.875,2.4317212e-06,1852-05-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-06-16 00:00:00,-90.0,1.875,8.791748e-07,1852-06-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-07-16 00:00:00,-90.0,1.875,1.4035913e-06,1852-07-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-08-16 00:00:00,-90.0,1.875,8.206533e-07,1852-08-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-09-16 00:00:00,-90.0,1.875,1.5277889e-06,1852-09-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-10-16 00:00:00,-90.0,1.875,1.0634589e-06,1852-10-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-11-16 00:00:00,-90.0,1.875,1.5369886e-06,1852-11-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1852-12-16 00:00:00,-90.0,1.875,4.3401567e-07,1852-12-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-01-16 00:00:00,-90.0,1.875,2.3035619e-07,1853-01-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-02-16 00:00:00,-90.0,1.875,1.3506815e-06,1853-02-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-03-16 00:00:00,-90.0,1.875,2.6838e-06,1853-03-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-04-16 00:00:00,-90.0,1.875,3.0942094e-06,1853-04-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-05-16 00:00:00,-90.0,1.875,1.7096121e-06,1853-05-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-06-16 00:00:00,-90.0,1.875,9.542133e-07,1853-06-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-07-16 00:00:00,-90.0,1.875,9.685826e-07,1853-07-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-08-16 00:00:00,-90.0,1.875,1.975585e-06,1853-08-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-09-16 00:00:00,-90.0,1.875,1.5458064e-06,1853-09-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-10-16 00:00:00,-90.0,1.875,1.0113818e-06,1853-10-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-11-16 00:00:00,-90.0,1.875,1.4110059e-06,1853-11-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1853-12-16 00:00:00,-90.0,1.875,3.4013544e-06,1853-12-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-01-16 00:00:00,-90.0,1.875,1.8882715e-06,1854-01-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-02-16 00:00:00,-90.0,1.875,2.3963346e-06,1854-02-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-03-16 00:00:00,-90.0,1.875,9.432373e-07,1854-03-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-04-16 00:00:00,-90.0,1.875,1.4965368e-06,1854-04-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-05-16 00:00:00,-90.0,1.875,1.5996474e-06,1854-05-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-06-16 00:00:00,-90.0,1.875,9.2048214e-07,1854-06-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-07-16 00:00:00,-90.0,1.875,5.8554826e-07,1854-07-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-08-16 00:00:00,-90.0,1.875,1.3518828e-06,1854-08-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-09-16 00:00:00,-90.0,1.875,3.102789e-06,1854-09-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-10-16 00:00:00,-90.0,1.875,2.0480365e-06,1854-10-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-11-16 00:00:00,-90.0,1.875,1.0547949e-06,1854-11-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1854-12-16 00:00:00,-90.0,1.875,2.0244547e-06,1854-12-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-01-16 00:00:00,-90.0,1.875,1.1849748e-06,1855-01-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-02-16 00:00:00,-90.0,1.875,1.3044448e-06,1855-02-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-03-16 00:00:00,-90.0,1.875,2.8344111e-06,1855-03-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-04-16 00:00:00,-90.0,1.875,2.1136407e-06,1855-04-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-05-16 00:00:00,-90.0,1.875,1.6543676e-06,1855-05-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-06-16 00:00:00,-90.0,1.875,2.8892025e-06,1855-06-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-07-16 00:00:00,-90.0,1.875,4.2057965e-07,1855-07-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-08-16 00:00:00,-90.0,1.875,3.9021288e-07,1855-08-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-09-16 00:00:00,-90.0,1.875,1.1852457e-06,1855-09-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-10-16 00:00:00,-90.0,1.875,1.736311e-06,1855-10-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-11-16 00:00:00,-90.0,1.875,1.0876353e-06,1855-11-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1855-12-16 00:00:00,-90.0,1.875,9.793456e-07,1855-12-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-01-16 00:00:00,-90.0,1.875,3.1670388e-06,1856-01-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-02-16 00:00:00,-90.0,1.875,7.868221e-07,1856-02-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-03-16 00:00:00,-90.0,1.875,1.7241076e-06,1856-03-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-04-16 00:00:00,-90.0,1.875,3.5731439e-06,1856-04-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-05-16 00:00:00,-90.0,1.875,1.9596205e-06,1856-05-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-06-16 00:00:00,-90.0,1.875,2.4241242e-06,1856-06-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-07-16 00:00:00,-90.0,1.875,3.3494605e-06,1856-07-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-08-16 00:00:00,-90.0,1.875,1.5797981e-06,1856-08-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-09-16 00:00:00,-90.0,1.875,1.7066732e-06,1856-09-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-10-16 00:00:00,-90.0,1.875,1.989299e-06,1856-10-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-11-16 00:00:00,-90.0,1.875,7.9092797e-07,1856-11-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1856-12-16 00:00:00,-90.0,1.875,1.5018907e-06,1856-12-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-01-16 00:00:00,-90.0,1.875,7.039656e-07,1857-01-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-02-16 00:00:00,-90.0,1.875,3.3502452e-06,1857-02-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-03-16 00:00:00,-90.0,1.875,2.1953617e-06,1857-03-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-04-16 00:00:00,-90.0,1.875,2.1764158e-06,1857-04-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-05-16 00:00:00,-90.0,1.875,1.6794498e-06,1857-05-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-06-16 00:00:00,-90.0,1.875,1.3003813e-06,1857-06-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-07-16 00:00:00,-90.0,1.875,1.0889665e-06,1857-07-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-08-16 00:00:00,-90.0,1.875,1.0368136e-06,1857-08-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-09-16 00:00:00,-90.0,1.875,2.7160963e-06,1857-09-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-10-16 00:00:00,-90.0,1.875,1.945355e-06,1857-10-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-11-16 00:00:00,-90.0,1.875,8.799715e-07,1857-11-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1857-12-16 00:00:00,-90.0,1.875,1.6742074e-06,1857-12-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-01-16 00:00:00,-90.0,1.875,1.9516185e-06,1858-01-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-02-16 00:00:00,-90.0,1.875,7.1618746e-07,1858-02-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-03-16 00:00:00,-90.0,1.875,2.5355985e-06,1858-03-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-04-16 00:00:00,-90.0,1.875,1.5757518e-06,1858-04-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-05-16 00:00:00,-90.0,1.875,5.8853334e-07,1858-05-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-06-16 00:00:00,-90.0,1.875,1.3416205e-06,1858-06-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-07-16 00:00:00,-90.0,1.875,3.0850842e-06,1858-07-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-08-16 00:00:00,-90.0,1.875,1.9878103e-06,1858-08-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-09-16 00:00:00,-90.0,1.875,2.7845838e-06,1858-09-01 00:00:00
-89.375,0,2.8125,r1i1p1f2,1858-10-16 00:00:00,-90.0,1.875,1.1697873e-06,1858-10-01 00:00:00
