lat,bnds,lon,member_id,time,lat_bnds,lon_bnds,pr,time_bnds
-89.375,0,188.4375,r1i1p1f2,1850-01-16 00:00:00,-90.0,187.5,2.3654775e-06,1850-01-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-02-16 00:00:00,-90.0,187.5,1.3352029e-06,1850-02-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-03-16 00:00:00,-90.0,187.5,8.633524e-07,1850-03-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-04-16 00:00:00,-90.0,187.5,8.2645414e-07,1850-04-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-05-16 00:00:00,-90.0,187.5,1.8086241e-06,1850-05-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-06-16 00:00:00,-90.0,187.5,2.5163952e-06,1850-06-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-07-16 00:00:00,-90.0,187.5,2.4959631e-06,1850-07-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-08-16 00:00:00,-90.0,187.5,2.3481564e-06,1850-08-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-09-16 00:00:00,-90.0,187.5,1.3380504e-06,1850-09-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-10-16 00:00:00,-90.0,187.5,7.410145e-07,1850-10-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-11-16 00:00:00,-90.0,187.5,1.9170714e-06,1850-11-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1850-12-16 00:00:00,-90.0,187.5,1.4765161e-06,1850-12-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1851-01-16 00:00:00,-90.0,187.5,1.1810776e-06,1851-01-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1851-02-16 00:00:00,-90.0,187.5,8.7238067e-07,1851-02-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1851-03-16 00:00:00,-90.0,187.5,1.7227474e-06,1851-03-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1851-04-16 00:00:00,-90.0,187.5,1.6603082e-06,1851-04-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1851-05-16 00:00:00,-90.0,187.5,2.6416365e-06,1851-05-01 00:00:00
-89.375,0,188.4375,r1i1p1f2,1851-06-16 00:00:00,-90.0,187.5,1.9595675e-06,1851-06-01 00:00:00
