lat,bnds,lon,member_id,time,lat_bnds,lon_bnds,pr,time_bnds
-89.375,0,147.1875,r1i1p1f2,1850-01-16 00:00:00,-90.0,146.25,2.2853771e-06,1850-01-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-02-16 00:00:00,-90.0,146.25,1.3641059e-06,1850-02-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-03-16 00:00:00,-90.0,146.25,8.6666984e-07,1850-03-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-04-16 00:00:00,-90.0,146.25,1.0540097e-06,1850-04-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-05-16 00:00:00,-90.0,146.25,1.628457e-06,1850-05-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-06-16 00:00:00,-90.0,146.25,2.6391315e-06,1850-06-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-07-16 00:00:00,-90.0,146.25,2.7150818e-06,1850-07-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-08-16 00:00:00,-90.0,146.25,2.2185723e-06,1850-08-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-09-16 00:00:00,-90.0,146.25,1.3513903e-06,1850-09-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-10-16 00:00:00,-90.0,146.25,8.314014e-07,1850-10-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-11-16 00:00:00,-90.0,146.25,2.3062853e-06,1850-11-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1850-12-16 00:00:00,-90.0,146.25,1.6049062e-06,1850-12-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-01-16 00:00:00,-90.0,146.25,1.2490282e-06,1851-01-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-02-16 00:00:00,-90.0,146.25,9.2352894e-07,1851-02-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-03-16 00:00:00,-90.0,146.25,1.9068631e-06,1851-03-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-04-16 00:00:00,-90.0,146.25,1.6319991e-06,1851-04-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-05-16 00:00:00,-90.0,146.25,3.0029548e-06,1851-05-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-06-16 00:00:00,-90.0,146.25,2.1300998e-06,1851-06-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-07-16 00:00:00,-90.0,146.25,1.7264393e-06,1851-07-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-08-16 00:00:00,-90.0,146.25,2.3173645e-06,1851-08-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-09-16 00:00:00,-90.0,146.25,1.2438499e-06,1851-09-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-10-16 00:00:00,-90.0,146.25,1.377815e-06,1851-10-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-11-16 00:00:00,-90.0,146.25,3.3093836e-06,1851-11-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1851-12-16 00:00:00,-90.0,146.25,1.1225227e-06,1851-12-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-01-16 00:00:00,-90.0,146.25,2.0766392e-06,1852-01-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-02-16 00:00:00,-90.0,146.25,1.5766379e-06,1852-02-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-03-16 00:00:00,-90.0,146.25,1.2717898e-06,1852-03-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-04-16 00:00:00,-90.0,146.25,2.8345014e-06,1852-04-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-05-16 00:00:00,-90.0,146.25,2.1577973e-06,1852-05-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-06-16 00:00:00,-90.0,146.25,8.3530404e-07,1852-06-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-07-16 00:00:00,-90.0,146.25,1.3640356e-06,1852-07-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-08-16 00:00:00,-90.0,146.25,1.1371333e-06,1852-08-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-09-16 00:00:00,-90.0,146.25,1.906893e-06,1852-09-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-10-16 00:00:00,-90.0,146.25,1.2942148e-06,1852-10-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-11-16 00:00:00,-90.0,146.25,2.1241558e-06,1852-11-01 00:00:00
-89.375,0,147.1875,r1i1p1f2,1852-12-16 00:00:00,-90.0,146.25,7.9038745e-07,1852-12-01 00:00:00
