lat,bnds,lon,member_id,time,lat_bnds,lon_bnds,pr,time_bnds
-89.375,0,75.9375,r1i1p1f2,1850-01-16 00:00:00,-90.0,75.0,2.4192054e-06,1850-01-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-02-16 00:00:00,-90.0,75.0,1.284856e-06,1850-02-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-03-16 00:00:00,-90.0,75.0,4.619165e-07,1850-03-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-04-16 00:00:00,-90.0,75.0,1.2095065e-06,1850-04-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-05-16 00:00:00,-90.0,75.0,1.3678184e-06,1850-05-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-06-16 00:00:00,-90.0,75.0,2.8430125e-06,1850-06-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-07-16 00:00:00,-90.0,75.0,3.5529347e-06,1850-07-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-08-16 00:00:00,-90.0,75.0,2.6352425e-06,1850-08-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-09-16 00:00:00,-90.0,75.0,1.4493601e-06,1850-09-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-10-16 00:00:00,-90.0,75.0,8.552821e-07,1850-10-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-11-16 00:00:00,-90.0,75.0,2.4754286e-06,1850-11-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1850-12-16 00:00:00,-90.0,75.0,1.6831482e-06,1850-12-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-01-16 00:00:00,-90.0,75.0,1.308822e-06,1851-01-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-02-16 00:00:00,-90.0,75.0,1.1050483e-06,1851-02-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-03-16 00:00:00,-90.0,75.0,2.0762604e-06,1851-03-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-04-16 00:00:00,-90.0,75.0,1.7403679e-06,1851-04-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-05-16 00:00:00,-90.0,75.0,3.2412893e-06,1851-05-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-06-16 00:00:00,-90.0,75.0,2.1342385e-06,1851-06-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-07-16 00:00:00,-90.0,75.0,2.2382228e-06,1851-07-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-08-16 00:00:00,-90.0,75.0,3.603728e-06,1851-08-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-09-16 00:00:00,-90.0,75.0,1.2135755e-06,1851-09-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-10-16 00:00:00,-90.0,75.0,1.8907072e-06,1851-10-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-11-16 00:00:00,-90.0,75.0,3.0025246e-06,1851-11-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1851-12-16 00:00:00,-90.0,75.0,1.0659999e-06,1851-12-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-01-16 00:00:00,-90.0,75.0,1.966466e-06,1852-01-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-02-16 00:00:00,-90.0,75.0,1.3902102e-06,1852-02-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-03-16 00:00:00,-90.0,75.0,1.2946047e-06,1852-03-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-04-16 00:00:00,-90.0,75.0,3.2849282e-06,1852-04-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-05-16 00:00:00,-90.0,75.0,2.297474e-06,1852-05-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-06-16 00:00:00,-90.0,75.0,9.1544e-07,1852-06-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-07-16 00:00:00,-90.0,75.0,1.3999512e-06,1852-07-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-08-16 00:00:00,-90.0,75.0,1.00679e-06,1852-08-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-09-16 00:00:00,-90.0,75.0,1.8421383e-06,1852-09-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-10-16 00:00:00,-90.0,75.0,1.1860643e-06,1852-10-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-11-16 00:00:00,-90.0,75.0,1.8868888e-06,1852-11-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1852-12-16 00:00:00,-90.0,75.0,3.9250622e-07,1852-12-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-01-16 00:00:00,-90.0,75.0,3.0527576e-07,1853-01-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-02-16 00:00:00,-90.0,75.0,1.5161631e-06,1853-02-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-03-16 00:00:00,-90.0,75.0,2.8496102e-06,1853-03-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-04-16 00:00:00,-90.0,75.0,3.0306117e-06,1853-04-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-05-16 00:00:00,-90.0,75.0,2.1973844e-06,1853-05-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-06-16 00:00:00,-90.0,75.0,9.681687e-07,1853-06-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-07-16 00:00:00,-90.0,75.0,1.2125171e-06,1853-07-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-08-16 00:00:00,-90.0,75.0,1.7995675e-06,1853-08-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-09-16 00:00:00,-90.0,75.0,2.032486e-06,1853-09-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-10-16 00:00:00,-90.0,75.0,9.888388e-07,1853-10-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-11-16 00:00:00,-90.0,75.0,1.2602591e-06,1853-11-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1853-12-16 00:00:00,-90.0,75.0,3.7882266e-06,1853-12-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1854-01-16 00:00:00,-90.0,75.0,3.5760595e-06,1854-01-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1854-02-16 00:00:00,-90.0,75.0,2.174295e-06,1854-02-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1854-03-16 00:00:00,-90.0,75.0,1.0327299e-06,1854-03-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1854-04-16 00:00:00,-90.0,75.0,1.7028082e-06,1854-04-01 00:00:00
-89.375,0,75.9375,r1i1p1f2,1854-05-16 00:00:00,-90.0,75.0,1.5580221e-06,1854-05-01 00:00:00
