lat,bnds,lon,member_id,time,lat_bnds,lon_bnds,pr,time_bnds
-89.375,0,47.8125,r1i1p1f2,1850-01-16 00:00:00,-90.0,46.875,2.6919347e-06,1850-01-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-02-16 00:00:00,-90.0,46.875,1.1550112e-06,1850-02-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-03-16 00:00:00,-90.0,46.875,3.5892472e-07,1850-03-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-04-16 00:00:00,-90.0,46.875,1.4163273e-06,1850-04-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-05-16 00:00:00,-90.0,46.875,1.2637129e-06,1850-05-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-06-16 00:00:00,-90.0,46.875,2.6574621e-06,1850-06-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-07-16 00:00:00,-90.0,46.875,3.1906754e-06,1850-07-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-08-16 00:00:00,-90.0,46.875,2.6280484e-06,1850-08-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-09-16 00:00:00,-90.0,46.875,1.4789965e-06,1850-09-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-10-16 00:00:00,-90.0,46.875,8.400707e-07,1850-10-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-11-16 00:00:00,-90.0,46.875,1.6253211e-06,1850-11-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1850-12-16 00:00:00,-90.0,46.875,2.0562961e-06,1850-12-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1851-01-16 00:00:00,-90.0,46.875,1.6720167e-06,1851-01-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1851-02-16 00:00:00,-90.0,46.875,9.8438e-07,1851-02-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1851-03-16 00:00:00,-90.0,46.875,2.2529564e-06,1851-03-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1851-04-16 00:00:00,-90.0,46.875,1.7874743e-06,1851-04-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1851-05-16 00:00:00,-90.0,46.875,3.3237138e-06,1851-05-01 00:00:00
-89.375,0,47.8125,r1i1p1f2,1851-06-16 00:00:00,-90.0,46.875,1.9611773e-06,1851-06-01 00:00:00
