lat,bnds,lon,member_id,time,lat_bnds,lon_bnds,pr,time_bnds
-89.375,0,15.9375,r1i1p1f2,1850-01-16 00:00:00,-90.0,15.0,2.5170118e-06,1850-01-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-02-16 00:00:00,-90.0,15.0,1.1538452e-06,1850-02-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-03-16 00:00:00,-90.0,15.0,3.130588e-07,1850-03-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-04-16 00:00:00,-90.0,15.0,1.1955284e-06,1850-04-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-05-16 00:00:00,-90.0,15.0,1.428406e-06,1850-05-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-06-16 00:00:00,-90.0,15.0,2.6927416e-06,1850-06-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-07-16 00:00:00,-90.0,15.0,3.3604913e-06,1850-07-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-08-16 00:00:00,-90.0,15.0,2.7165381e-06,1850-08-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-09-16 00:00:00,-90.0,15.0,1.6622776e-06,1850-09-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-10-16 00:00:00,-90.0,15.0,8.1943324e-07,1850-10-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-11-16 00:00:00,-90.0,15.0,1.7989931e-06,1850-11-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1850-12-16 00:00:00,-90.0,15.0,2.3226173e-06,1850-12-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1851-01-16 00:00:00,-90.0,15.0,1.9637966e-06,1851-01-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1851-02-16 00:00:00,-90.0,15.0,8.056027e-07,1851-02-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1851-03-16 00:00:00,-90.0,15.0,1.880276e-06,1851-03-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1851-04-16 00:00:00,-90.0,15.0,1.6113388e-06,1851-04-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1851-05-16 00:00:00,-90.0,15.0,3.6448414e-06,1851-05-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1851-06-16 00:00:00,-90.0,15.0,1.8843957e-06,1851-06-01 00:00:00
-89.375,0,15.9375,r1i1p1f2,1851-07-16 00:00:00,-90.0,15.0,1.4006862e-06,1851-07-01 00:00:00
