lat,bnds,lon,member_id,time,lat_bnds,lon_bnds,pr,time_bnds
-89.375,0,126.5625,r1i1p1f2,1850-01-16 00:00:00,-90.0,125.625,2.4863377e-06,1850-01-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-02-16 00:00:00,-90.0,125.625,1.3214021e-06,1850-02-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-03-16 00:00:00,-90.0,125.625,7.8130813e-07,1850-03-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-04-16 00:00:00,-90.0,125.625,1.2934757e-06,1850-04-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-05-16 00:00:00,-90.0,125.625,1.7951058e-06,1850-05-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-06-16 00:00:00,-90.0,125.625,2.7423703e-06,1850-06-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-07-16 00:00:00,-90.0,125.625,2.9949351e-06,1850-07-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-08-16 00:00:00,-90.0,125.625,2.30029e-06,1850-08-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-09-16 00:00:00,-90.0,125.625,1.2189466e-06,1850-09-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-10-16 00:00:00,-90.0,125.625,8.7896575e-07,1850-10-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-11-16 00:00:00,-90.0,125.625,2.4519652e-06,1850-11-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1850-12-16 00:00:00,-90.0,125.625,1.7830405e-06,1850-12-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1851-01-16 00:00:00,-90.0,125.625,1.2934764e-06,1851-01-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1851-02-16 00:00:00,-90.0,125.625,9.925881e-07,1851-02-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1851-03-16 00:00:00,-90.0,125.625,2.1014127e-06,1851-03-01 00:00:00
-89.375,0,126.5625,r1i1p1f2,1851-04-16 00:00:00,-90.0,125.625,1.6906813e-06,1851-04-01 00:00:00
