time,prec
6570,1.4652032405138016e-06
6600,1.3329138255357975e-06
6630,1.743594225445122e-06
6660,1.339325649496459e-06
6690,1.456078166484076e-06
6720,8.387750654037518e-07
6750,2.1635228222294245e-06
6780,1.180068352368835e-06
6810,3.961523873385886e-07
6840,3.98325425976509e-07
6870,1.2500324828579323e-06
6900,1.2692760265053948e-06
6930,1.3789089052806958e-06
6960,1.6711315993234166e-06
6990,3.000028300448321e-06
7020,1.8677149000723148e-06
7050,1.0797417644425877e-06
7080,8.187367370737775e-07
7110,1.5111229458852904e-06
7140,1.6252975001407322e-06
7170,2.068984713332611e-06
7200,1.676501256042684e-06
7230,6.73568763431831e-07
7260,1.5487120208490524e-06
7290,2.20842775888741e-06
7320,9.58310238274862e-07
7350,8.562090556551993e-07
7380,2.0090071757294936e-06
7410,2.5999029276135843e-06
7440,1.2872523029727745e-06
7470,8.487457421324507e-07
7500,3.741745331353741e-07
7530,2.4207972728618188e-06
7560,2.3894949663372245e-06
7590,2.0857821709796553e-06
7620,1.2493003396230051e-06
7650,1.600074710950139e-06
7680,1.1897262766069616e-06
7710,2.978337533932063e-06
7740,1.0339734899389441e-06
7770,9.878298214971437e-07
7800,7.632560254933196e-07
7830,2.4905500595195917e-06
7860,9.334540322925022e-07
7890,2.0551699435600312e-06
7920,1.3544587318392587e-06
7950,4.595418374719884e-07
7980,3.2826283131726086e-06
8010,1.4067856000110623e-06
8040,1.0471630957908928e-06
8070,2.178133627239731e-06
8100,1.2881176871815114e-06
8130,9.800980933505343e-07
8160,6.355192567752965e-07
8190,8.005955578482826e-07
8220,1.1558771575437277e-06
8250,1.306896024289017e-06
8280,1.5300302038667724e-06
8310,1.3193430277169682e-06
8340,3.162982693538652e-06
8370,1.2000015203739167e-06
8400,9.121609423345944e-07
8430,2.228231096523814e-06
8460,5.09813560256589e-07
8490,9.800045290830894e-07
8520,1.267680431737972e-06
8550,1.963659087778069e-06
8580,1.7148921642728965e-06
8610,2.610915544210002e-06
8640,3.837700148778822e-07
8670,2.0272668734833132e-06
8700,1.980254864974995e-06
8730,2.1561738776654238e-06
8760,1.3001550769331516e-06
8790,3.0050143777771154e-06
8820,1.0001703003581497e-06
8850,4.437279699232022e-07
8880,3.2919763270911062e-06
8910,1.2672837783611612e-06
8940,2.224511035819887e-06
8970,2.359924337724806e-06
9000,6.277926445363846e-07
9030,4.754283963848138e-06
9060,2.0801248865609523e-06
9090,1.2112590184187866e-06
9120,1.4384304449777119e-06
9150,1.729570385577972e-06
9180,2.525882337067742e-06
9210,1.0761995099528576e-06
9240,1.8676291801966727e-06
9270,2.1953030682198005e-06
9300,1.7349419749734807e-06
9330,1.8448841956342221e-06
9360,1.4534263073073816e-06
9390,1.5000667872300255e-06
9420,1.2409715282046818e-06
9450,2.1260700577840907e-06
9480,2.9202185487520183e-06
9510,2.4682824459887343e-06
9540,1.5917959217404132e-06
9570,1.9339729533385253e-06
9600,3.6966940797356074e-07
9630,8.540600902051665e-07
9660,1.9188619262422435e-06
9690,2.1059966002212605e-06
9720,7.604697884744382e-07
9750,2.683359809907415e-07
9780,8.227142984651437e-07
9810,1.1335047247484908e-06
9840,1.4774997225686093e-06
9870,1.5880092405495816e-06
9900,1.807273974918644e-06
9930,1.2872171737399185e-06
9960,7.730910169811978e-07
9990,1.1712638752214843e-06
10020,8.327781984007743e-07
10050,1.6234328086284222e-06
10080,6.686623237328604e-07
10110,1.2652197938223253e-06
10140,1.022187234411831e-06
10170,1.5937638409013744e-06
10200,9.909306299960008e-07
10230,1.4035776985110715e-06
10260,2.11614337786159e-06
10290,1.1615416042332072e-06
10320,1.682871584307577e-06
10350,1.0997631534337415e-06
10380,2.0896306978102075e-06
10410,4.793322432306013e-07
10440,1.33503885990649e-06
10470,1.685385541350115e-06
10500,1.641413518882473e-06
10530,1.775178816387779e-06
10560,2.579339025032823e-06
10590,1.1164019042553264e-06
10620,2.1114533410582226e-06
10650,1.7068358602045919e-06
10680,2.275591441502911e-06
