lat,bnds,lon,member_id,time,lat_bnds,lon_bnds,pr,time_bnds
51.875,0,0.9375,r1i1p1f2,1850-01-16 00:00:00,51.25,0.0,2.5363148e-05,1850-01-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-02-16 00:00:00,51.25,0.0,2.342607e-05,1850-02-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-03-16 00:00:00,51.25,0.0,2.1046946e-05,1850-03-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-04-16 00:00:00,51.25,0.0,5.8171395e-06,1850-04-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-05-16 00:00:00,51.25,0.0,1.7038079e-05,1850-05-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-06-16 00:00:00,51.25,0.0,5.3256383e-07,1850-06-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-07-16 00:00:00,51.25,0.0,1.3639283e-05,1850-07-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-08-16 00:00:00,51.25,0.0,2.1721504e-05,1850-08-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-09-16 00:00:00,51.25,0.0,7.188085e-06,1850-09-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-10-16 00:00:00,51.25,0.0,2.295015e-06,1850-10-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-11-16 00:00:00,51.25,0.0,2.1893191e-05,1850-11-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1850-12-16 00:00:00,51.25,0.0,2.5296715e-05,1850-12-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-01-16 00:00:00,51.25,0.0,3.3076558e-05,1851-01-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-02-16 00:00:00,51.25,0.0,1.38088e-05,1851-02-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-03-16 00:00:00,51.25,0.0,2.1151185e-05,1851-03-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-04-16 00:00:00,51.25,0.0,1.5825262e-05,1851-04-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-05-16 00:00:00,51.25,0.0,3.4533266e-05,1851-05-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-06-16 00:00:00,51.25,0.0,2.2054508e-06,1851-06-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-07-16 00:00:00,51.25,0.0,2.1191972e-05,1851-07-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-08-16 00:00:00,51.25,0.0,9.078552e-06,1851-08-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-09-16 00:00:00,51.25,0.0,1.265772e-05,1851-09-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-10-16 00:00:00,51.25,0.0,3.6015528e-05,1851-10-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-11-16 00:00:00,51.25,0.0,2.7053326e-05,1851-11-01 00:00:00
51.875,0,0.9375,r1i1p1f2,1851-12-16 00:00:00,51.25,0.0,3.293295e-05,1851-12-01 00:00:00
